id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9880365,Relaxing cup of coffe in PlazaMayor,36542167,Antonio,Centro,Embajadores,40.41337,-3.70721,Entire home/apt,100,2,87,2019-01-03,1.85,1,130
9880406,Prado Terrace Moratín.,34623998,Javier,Centro,Cortes,40.41306,-3.69691,Entire home/apt,300,2,91,2019-11-03,2.21,2,321
9881248,SOL LUXURY APARTAMENTOS,50838254,Ana Belen,Centro,Embajadores,40.41388,-3.70608,Entire home/apt,280,1,62,2019-10-21,1.44,4,48
9883101,CITY CENTER MADRID GRAN VÍA 4P,19238205,Antonio Y Carlos,Centro,Universidad,40.4203,-3.70364,Entire home/apt,99,3,172,2019-11-03,3.94,1,0
9883116,Apartment near Plaza Mayor,7657596,Miguel,Centro,Sol,40.41739,-3.70766,Entire home/apt,90,1,2,2016-04-30,0.04,1,0
9891610,HABITACION CAMA DOBLE EXTERIOR,50883425,Wilson,Puente de Vallecas,Palomeras Bajas,40.38955,-3.6601,Private room,25,1,0,,,1,0
9892232,Habitación en piso con terraza grande,50351360,Ana,Centro,Embajadores,40.4104,-3.70763,Private room,40,3,6,2018-05-01,0.13,2,0
9894564,"Bright, cozy and well-located apartment in Madrid",5823271,Julie,Chamberí,Vallehermoso,40.441,-3.70885,Entire home/apt,49,2,2,2016-03-13,0.04,1,0
9894805,"Quiet, bright and central apartment",50894507,Marisol,Tetuán,Bellas Vistas,40.45389,-3.7072,Entire home/apt,60,3,15,2019-09-25,0.32,1,0
9897373,Beautiful flat in Callao,49690529,Rocio,Centro,Sol,40.41864,-3.70794,Entire home/apt,71,3,259,2019-11-01,5.51,2,0
9898596,Welcoming apartment in the heart of Madrid,50908516,Daniel,Centro,Palacio,40.41109,-3.70898,Entire home/apt,120,1,204,2019-10-28,4.34,2,246
9901505,habitacion en la Latina-Rastro,50918682,Edouard,Centro,Embajadores,40.41009,-3.70715,Private room,15,1,2,2016-01-01,0.04,1,0
9901912,Habitacion en el centro de Madrid,50921873,Silvia,Salamanca,Recoletos,40.4246,-3.68332,Private room,14,1,1,2017-06-28,0.03,1,0
9902616,Habit. doble para Navidad en Madrid,50916552,Borja,Carabanchel,San Isidro,40.39852,-3.71966,Private room,20,2,1,2015-12-27,0.02,1,0
